hash|file|insertions|deletions
70b11eb01c798668e22412d6c502bfe6ffa7d648|src/Notenspiegel.ts|5|4
70b11eb01c798668e22412d6c502bfe6ffa7d648|tests/Notenspiegel.test.ts|5|1
3f5a09e18e1dbad49d66d56e7d240aa58231bd23|src/Notenspiegel.ts|31|3
3f5a09e18e1dbad49d66d56e7d240aa58231bd23|tests/Notenspiegel.test.ts|4|0
cd51af5c249e5caf566125d259993708749a8041|src/Notenspiegel.ts|3|3
cd51af5c249e5caf566125d259993708749a8041|tests/Notenspiegel.test.ts|58|0
82df923daf14d26464326a1e5e47c2c1c4971e48|src/Notenspiegel.ts|46|44
29ed4423ba152aad966ab0de26e7e9227d9289a4|src/Notenspiegel.ts|8|5
5222bcb7bd634c99bf9cbf67d1a011b8dc89c0d3|src/Notenspiegel.ts|4|10
3b5a3d716d28af025365cd581ffa297a952cb65d|src/Notenspiegel.ts|29|1
7dbd751066f07b03a9e49f94b7857f5031568c6e|src/Notenspiegel.ts|5|5
3981925b1b184218ac34518d0994527ac06cd164|src/Notenspiegel.ts|2|2
cb486de55d7566ca5da96220372dfff16d1a4467|src/Notenspiegel.ts|0|0
d1b8b58630f97569d3a0be8c94c0f5596ed4fd64|src/Notenspiegel.ts|6|2
a9903b61112b81622f2b982998d1243a91a04606|package-lock.json|164|158
a9903b61112b81622f2b982998d1243a91a04606|src/Notenspiegel.ts|19|5
aabd5889b20f4d86d3a20eb217c94685e910cbfb|.vscode/settings.json|10|8
09ec1454401173ce7549abf67955b83d0f6fa2d8|.gitlab-ci.yml|1|1
74c7b1ebdabddd9397819d148def800754cae574|.gitignore|21|0
74c7b1ebdabddd9397819d148def800754cae574|.gitlab-ci.yml|17|0
74c7b1ebdabddd9397819d148def800754cae574|.vscode/settings.json|18|0
74c7b1ebdabddd9397819d148def800754cae574|README.md|20|0
74c7b1ebdabddd9397819d148def800754cae574|jest.config.js|13|0
74c7b1ebdabddd9397819d148def800754cae574|logo.jpg|0|0
74c7b1ebdabddd9397819d148def800754cae574|package-lock.json|8134|0
74c7b1ebdabddd9397819d148def800754cae574|package.json|25|0
74c7b1ebdabddd9397819d148def800754cae574|src/Notenspiegel.ts|9|0
74c7b1ebdabddd9397819d148def800754cae574|tests/Notenspiegel.test.ts|33|0
74c7b1ebdabddd9397819d148def800754cae574|tests/formalities.test.ts|60|0
74c7b1ebdabddd9397819d148def800754cae574|tests/tsconfig.json|7|0
74c7b1ebdabddd9397819d148def800754cae574|tsconfig.json|96|0
