author,total_commits,mixed_commits,source_commits,test_commits,comment_commits,total_changes,source_changes,comment_changes,test_changes,bundling,start_date,end_date,deadline,sessions,avg_commits,avg_changes,index
"author1 submission_1950914","11","36.36 % (4)","54.55 % (6)","9.09 % (1)","0.00 % (0)","100.00 % (228)","50.44 % (115)","19.74 % (45)","29.82 % (68)","0.28","24.4.2024 14:16:25","27.4.2024 22:03:00","28.4.2024 23:59:59","4","2.8","69","0"
"author3 submission_1950917","2","50.00 % (1)","0.00 % (0)","50.00 % (1)","0.00 % (0)","100.00 % (193)","21.24 % (41)","13.47 % (26)","65.28 % (126)","0.6","28.4.2024 20:57:02","28.4.2024 22:15:15","28.4.2024 23:59:59","1","2","193","0.88"
"author4 submission_1950918","14","50.00 % (7)","21.43 % (3)","28.57 % (4)","0.00 % (0)","100.00 % (271)","29.15 % (79)","12.55 % (34)","58.30 % (158)","0.36","27.4.2024 20:47:35","28.4.2024 16:49:54","28.4.2024 23:59:59","4","3.5","35","0"
"author5 submission_1950919","8","75.00 % (6)","25.00 % (2)","0.00 % (0)","0.00 % (0)","100.00 % (346)","58.38 % (202)","8.09 % (28)","33.53 % (116)","0.3","18.4.2024 16:15:19","24.4.2024 16:51:06","28.4.2024 23:59:59","5","1.6","52","0"
"author6 submission_1950920","2","0.00 % (0)","50.00 % (1)","0.00 % (0)","50.00 % (1)","100.00 % (61)","81.97 % (50)","18.03 % (11)","0.00 % (0)","0.93","28.4.2024 22:53:58","28.4.2024 23:02:37","28.4.2024 23:59:59","1","2","61","1"
"author7 submission_1950922","10","20.00 % (2)","70.00 % (7)","10.00 % (1)","0.00 % (0)","100.00 % (187)","44.92 % (84)","6.42 % (12)","48.66 % (91)","0.49","24.4.2024 16:52:46","28.4.2024 19:08:20","28.4.2024 23:59:59","3","3.3","44","0"
"author8 - author9 submission_1950925","10","70.00 % (7)","20.00 % (2)","10.00 % (1)","0.00 % (0)","100.00 % (180)","41.11 % (74)","21.11 % (38)","37.78 % (68)","0.26","28.4.2024 14:14:54","28.4.2024 16:00:33","28.4.2024 23:59:59","1","10","102","0.25"
"author10 submission_1950926","2","100.00 % (2)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (127)","50.39 % (64)","8.66 % (11)","40.94 % (52)","0.9","28.4.2024 19:35:40","28.4.2024 23:23:34","28.4.2024 23:59:59","2","1","64","0.75"
"author11 submission_1950927","8","50.00 % (4)","0.00 % (0)","50.00 % (4)","0.00 % (0)","100.00 % (266)","47.74 % (127)","11.65 % (31)","40.60 % (108)","0.32","24.4.2024 08:31:46","24.4.2024 17:35:10","28.4.2024 23:59:59","3","2.7","139","0"
"author12 submission_1950929","9","33.33 % (3)","11.11 % (1)","55.56 % (5)","0.00 % (0)","100.00 % (261)","36.02 % (94)","8.43 % (22)","55.56 % (145)","0.22","12.5.2024 15:02:33","13.5.2024 15:15:08","28.4.2024 23:59:59","3","3","25","0.25"
"author13 submission_1950930","8","62.50 % (5)","12.50 % (1)","12.50 % (1)","12.50 % (1)","100.00 % (227)","51.10 % (116)","17.18 % (39)","31.72 % (72)","0.26","24.4.2024 12:03:37","27.4.2024 11:38:26","28.4.2024 23:59:59","3","2.7","49","0"
"author14 submission_1950931","5","100.00 % (5)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (148)","43.24 % (64)","10.14 % (15)","46.62 % (69)","0.34","28.4.2024 17:29:54","28.4.2024 19:25:07","28.4.2024 23:59:59","1","5","77","0.5"
"author15 submission_1950932","6","50.00 % (3)","33.33 % (2)","16.67 % (1)","0.00 % (0)","100.00 % (241)","59.34 % (143)","9.96 % (24)","30.71 % (74)","0.34","21.4.2024 21:49:53","24.4.2024 00:31:01","28.4.2024 23:59:59","3","2","80","0.25"
"author16 submission_1950935","7","57.14 % (4)","28.57 % (2)","14.29 % (1)","0.00 % (0)","100.00 % (193)","49.22 % (95)","12.95 % (25)","37.82 % (73)","0.61","16.4.2024 21:59:53","28.4.2024 00:42:17","28.4.2024 23:59:59","5","1.4","39","0"
"author17 submission_1950936","30","10.00 % (3)","53.33 % (16)","33.33 % (10)","3.33 % (1)","100.00 % (297)","46.80 % (139)","14.48 % (43)","38.72 % (115)","0.15","27.4.2024 17:09:05","28.4.2024 04:45:44","28.4.2024 23:59:59","4","7.5","99","0"
