author,total_commits,mixed_commits,source_commits,test_commits,comment_commits,total_changes,source_changes,comment_changes,test_changes,bundling,start_date,end_date,deadline,sessions,avg_commits,index
"author1 submission_1770866","7","85.71 % (6)","0.00 % (0)","14.29 % (1)","0.00 % (0)","100.00 % (290)","49.31 % (143)","1.03 % (3)","49.66 % (144)","0.32","23.5.2023 14:16:11","4.6.2023 11:20:33","4.6.2023 23:59:59","3","2.3","0"
"author3 submission_1770867","6","50.00 % (3)","16.67 % (1)","33.33 % (2)","0.00 % (0)","100.00 % (442)","28.51 % (126)","0.45 % (2)","71.04 % (314)","0.49","24.5.2023 09:25:52","2.6.2023 09:01:46","4.6.2023 23:59:59","3","2","0"
"author4 submission_1770868","1","100.00 % (1)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (358)","43.58 % (156)","5.59 % (20)","50.84 % (182)","1","4.6.2023 15:29:48","4.6.2023 15:29:48","4.6.2023 23:59:59","1","1","0.5"
"author5 submission_1770872","6","83.33 % (5)","0.00 % (0)","16.67 % (1)","0.00 % (0)","100.00 % (404)","50.00 % (202)","1.49 % (6)","48.51 % (196)","0.31","4.6.2023 15:29:14","4.6.2023 18:12:01","4.6.2023 23:59:59","1","6","0.25"
"author6 submission_1770877","8","37.50 % (3)","0.00 % (0)","62.50 % (5)","0.00 % (0)","100.00 % (451)","32.82 % (148)","2.22 % (10)","64.97 % (293)","0.24","24.5.2023 02:51:12","26.5.2023 05:49:24","4.6.2023 23:59:59","3","2.7","0"
"author7 submission_1770878","9","55.56 % (5)","11.11 % (1)","33.33 % (3)","0.00 % (0)","100.00 % (591)","23.01 % (136)","11.00 % (65)","65.99 % (390)","0.25","24.5.2023 14:02:34","26.5.2023 03:13:20","4.6.2023 23:59:59","4","2.3","0"
"author8 - author9 submission_1770879","6","83.33 % (5)","0.00 % (0)","16.67 % (1)","0.00 % (0)","100.00 % (265)","42.64 % (113)","0.00 % (0)","57.36 % (152)","0.38","17.5.2023 20:16:29","24.5.2023 16:08:08","4.6.2023 23:59:59","4","1.5","0.13"
"author10 submission_1770881","2","50.00 % (1)","50.00 % (1)","0.00 % (0)","0.00 % (0)","100.00 % (394)","37.82 % (149)","17.51 % (69)","44.67 % (176)","0.94","1.6.2023 16:30:00","2.6.2023 00:08:36","4.6.2023 23:59:59","2","1","0.25"
"author11 submission_1770882","2","100.00 % (2)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (72)","61.11 % (44)","15.28 % (11)","23.61 % (17)","0.53","4.6.2023 23:28:00","4.6.2023 23:53:57","4.6.2023 23:59:59","1","2","1"
"author12 submission_1770883","15","66.67 % (10)","0.00 % (0)","33.33 % (5)","0.00 % (0)","100.00 % (445)","37.08 % (165)","6.74 % (30)","56.18 % (250)","0.31","30.5.2023 23:18:27","4.6.2023 23:44:42","4.6.2023 23:59:59","5","3","0"
"author13 submission_1770884","7","71.43 % (5)","28.57 % (2)","0.00 % (0)","0.00 % (0)","100.00 % (272)","64.34 % (175)","2.94 % (8)","32.72 % (89)","0.48","23.5.2023 11:08:09","4.6.2023 14:52:31","4.6.2023 23:59:59","5","1.4","0"
