author,total_commits,mixed_commits,source_commits,test_commits,comment_commits,total_changes,source_changes,comment_changes,test_changes,bundling,start_date,end_date,deadline,first_on_deadline,late_start,sessions,avg_commits,avg_changes,index
"author1 submission_2173418","5","80.00 % (4)","20.00 % (1)","0.00 % (0)","0.00 % (0)","100.00 % (979)","51.38 % (503)","7.25 % (71)","41.37 % (405)","0.42","5.5.2025 01:21:18","11.5.2025 22:44:53","11.5.2025 23:59:59","nein","nein","5","1.2","245","0.31"
"author3 submission_2173419","10","30.00 % (3)","10.00 % (1)","50.00 % (5)","10.00 % (1)","100.00 % (992)","29.84 % (296)","1.31 % (13)","68.85 % (683)","0.3","8.5.2025 21:22:14","11.5.2025 17:43:53","11.5.2025 23:59:59","nein","nein","6","1.8","242","0.19"
"author4 submission_2173420","16","62.50 % (10)","0.00 % (0)","37.50 % (6)","0.00 % (0)","100.00 % (634)","32.33 % (205)","0.95 % (6)","66.72 % (423)","0.14","2.5.2025 17:32:29","10.5.2025 11:25:39","11.5.2025 23:59:59","nein","nein","3","5.7","170","0.17"
"author5 submission_2173421","6","50.00 % (3)","16.67 % (1)","33.33 % (2)","0.00 % (0)","100.00 % (657)","41.10 % (270)","4.87 % (32)","54.03 % (355)","0.41","9.5.2025 22:33:57","11.5.2025 22:40:21","11.5.2025 23:59:59","nein","nein","5","1.4","159","0.57"
"author6 submission_2173422","1","100.00 % (1)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (676)","33.88 % (229)","3.25 % (22)","62.87 % (425)","1","11.5.2025 22:17:48","11.5.2025 22:17:48","11.5.2025 23:59:59","ja","ja","2","1","676","0.71"
"author7 submission_2173423","9","44.44 % (4)","33.33 % (3)","22.22 % (2)","0.00 % (0)","100.00 % (744)","37.23 % (277)","0.40 % (3)","62.37 % (464)","0.35","11.5.2025 13:01:58","11.5.2025 23:48:52","11.5.2025 23:59:59","ja","nein","4","2.5","188","0.29"
"author8 submission_2173424","13","38.46 % (5)","15.38 % (2)","46.15 % (6)","0.00 % (0)","100.00 % (911)","38.20 % (348)","0.00 % (0)","61.80 % (563)","0.39","6.5.2025 23:36:01","11.5.2025 19:31:26","11.5.2025 23:59:59","nein","nein","8","1.8","134","0.16"
"author9 submission_2173426","3","33.33 % (1)","33.33 % (1)","33.33 % (1)","0.00 % (0)","100.00 % (405)","53.09 % (215)","0.49 % (2)","46.42 % (188)","0.4","11.5.2025 19:04:33","11.5.2025 23:56:38","11.5.2025 23:59:59","ja","ja","2","2","310","0.84"
"author10 submission_2173427","11","27.27 % (3)","45.45 % (5)","27.27 % (3)","0.00 % (0)","100.00 % (771)","39.82 % (307)","4.67 % (36)","55.51 % (428)","0.26","7.5.2025 15:27:59","11.5.2025 19:14:51","11.5.2025 23:59:59","nein","nein","10","1.2","86","0"
"author11 submission_2173428","12","33.33 % (4)","0.00 % (0)","66.67 % (8)","0.00 % (0)","100.00 % (938)","26.55 % (249)","0.11 % (1)","73.35 % (688)","0.27","6.5.2025 15:13:58","9.5.2025 22:26:44","11.5.2025 23:59:59","nein","nein","5","2.6","84","0"
